doc_id,source_name,include_wfs_health_action,use_air_cleaner,use_HEPA_filter,run_HVAC_continuous,filter_air_vehicle,run_HVAC_filter_specified,run_HVAC_filter_type_txt,reduce_outdoor_exercise,stay_indoors,stay_indoors_doors_windows_closed,wear_mask,wear_mask_N95,wear_mask_KN95,wear_mask_respirator,wear_mask_surgical,wear_mask_against_specified,wear_mask_against_txt,wear_mask_other,wear_mask_other_txt,check_air_quality,check_outdoor_AQ,check_outdoor_AQ_method,check_outdoor_AQ_govt,check_outdoor_AQ_govt_ECCC,check_outdoor_AQ_govt_BC,check_outdoor_AQ_govt_FireSmoke,check_outdoor_AQ_crowdsource,check_outdoor_AQ_PurpleAir,check_outdoor_AQ_IQair,outdoor_AQ_action_specified,outdoor_AQ_action_txt,monitor_indoor_AQ,indoor_monitor_type_specified,indoor_monitor_type_txt,indoor_monitor_action_specified,indoor_monitor_action_txt,other_health_action,other_health_action_txt,target_audience_present,target_audience_general_pop,target_group_children_infants,target_group_older,target_group_pregnant,target_group_pregnant,target_group_current_lung_disease,target_group_current_other_health,target_group_current_other_health_txt,target_group_current_other,target_group_current_other_txt,guidance_goal_present,guidance_goal_protect_health_general,guidance_goal_protect_lung_health,guidance_goal_protect_health_other,guidance_goal_protect_health_other_txt,guidance_goal_informs_decisions,guidance_goal_other,guidance_goal_other_txt,author_individual_level,author_names_present,author_accreditation_present,author_additional_info_present,author_additional_info_txt,dev_process_described,dev_process_details_txt,multi_language_available,language_french,language_chinese,language_hindi,language_punjabi,language_spanish,language_other_specified,language_other_txt,benefits_present,benefits_hepa,benefits_HEPA_improves_air_quality,benefits_HEPA_improves_lung_health,benefits_HEPA_improves_other_health,benefits_HEPA_improves_other_non_health,benefits_DIY,benefits_DIY_improves_air_quality,benefits_DIY_improves_lung_health,benefits_DIY_improves_other_health,benefits_DIY_improves_other_non_health,benefits_indoor,benefits_indoor_improves_air_quality,benefits_indoor_improves_lung_health,benefits_indoor_improves_other_health,benefits_indoor_improves_other_non_health,benefits_reduce_outdoor,bruden_present,burden_hepa,burden_HEPA_upfront_cost,burden_HEPA_main_cost,burden_HEPA_noise,burden_HEPA_other,burden_diy,burden_diy_main_cost,burden_diy_noise,burden_diy_other,burden_indoor,burden_indoor_work,burden_indoor_well_being,burden_indoor_other,burden_outdoor,burden_outdoor_work,burden_outdoor_well_being,burden_outdoor_other,burden_mask,burden_mask_work,burden_mask_well_being,burden_mask_cost,burden_mask_other,burden_other,burden_other_txt,effectsize_present,effectsize_HEPA_present,effectsize_HEPA_air_quality,effectsize_HEPA_lung_health,effectsize_HEPA_other_health,effectsize_HEPA_other,effectsize_HEPA_txt,effectsize_DIY_present,effectsize_DIY_air_quality,effectsize_DIY_lung_health,effectsize_DIY_other_health,effectsize_DIY_other,effectsize_DIY_txt,effectsize_stay_indoors_present,effectsize_stay_indoors_reduce_exposure,effectsize_stay_indoors_lung_health,effectsize_stay_indoors_other_health,effectsize_stay_indoors_other,effectsize_stay_indoors_txt,effectsize_reduce_exercise_present,effectsize_reduce_exercise_reduce_exposure,effectsize_reduce_exercise_lung_health,effectsize_reduce_exercise_other_health,effectsize_reduce_exercise_other,effectsize_reduce_exercise_txt,effectsize_mask_present,effectsize_mask_reduce_exposure,effectsize_mask_lung_health,effectsize_mask_other_health,effectsize_mask_other,effectsize_mask_txt,effectsize_other_action_present,effectsize_other_action_txt,effectsize_burden_present,effectsize_burden_HEPA_present,effectsize_burden_HEPA_air_quality,effectsize_burden_HEPA_lung_health,effectsize_burden_HEPA_other_health,effectsize_burden_HEPA_other,effectsize_burden_HEPA_txt,effectsize_burden_DIY_present,effectsize_burden_DIY_air_quality,effectsize_burden_DIY_lung_health,effectsize_burden_DIY_other_health,effectsize_burden_DIY_other,effectsize_burden_DIY_txt,effectsize_burden_stay_indoors_present,effectsize_burden_stay_indoors_reduce_exposure,effectsize_burden_stay_indoors_lung_health,effectsize_burden_stay_indoors_other_health,effectsize_burden_stay_indoors_other,effectsize_burden_stay_indoors_txt,effectsize_burden_reduce_exercise_present,effectsize_burden_reduce_exercise_reduce_exposure,effectsize_burden_reduce_exercise_lung_health,effectsize_burden_reduce_exercise_other_health,effectsize_burden_reduce_exercise_other,effectsize_burden_reduce_exercise_txt,effectsize_burden_mask_present,effectsize_burden_mask_reduce_exposure,effectsize_burden_mask_lung_health,effectsize_burden_mask_other_health,effectsize_burden_mask_other,effectsize_burden_mask_txt,effectsize_burden_other_action_present,effectsize_burden_other_action_txt,evidence_quality_present,evidence_quality_HEPA,evidence_quality_DIY,evidence_quality_stay_indoors,evidence_quality_reduce_exercise,evidence_quality_mask,evidence_quality_other,evidence_quality_other_action_txt,references_scientific_publications,references_scientific_publications_txt
vch_013,2024,YES,YES,YES,NO,NO,NO,N/A,YES,YES,YES,YES,YES,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,varies,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
can_001,2025,YES,YES,YES,NO,NO,NO,N/A,NO,NO,YES,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
can_002,2024,YES,YES,NO,NO,NO,NO,N/A,YES,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,YES,take care of mental health,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
can_003,2024,YES,YES,NO,NO,NO,NO,N/A,YES,YES,YES,YES,YES,YES,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,N/A,YES,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
can_004,2025,YES,YES,NO,NO,YES,NO,N/A,YES,YES,YES,YES,YES,YES,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,N/A,YES,NO,N/A,NO,N/A,YES,"keep medications at home, discuss with physician, carbon monoxide alarms",NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_001,2024,YES,YES,YES,NO,NO,NO,N/A,YES,YES,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO, N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_002,2024,YES,YES,YES,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,YES,"rescue medications at home, air quality alerts subscription",NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_003,2024,YES,YES,YES,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,YES,YES,YES,NO,NO,NO,40-80% reduction in small/fine particles,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_004,2025,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,N/A,YES,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_005,2024,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_006,2024,YES,NO,NO,NO,NO,NO,N/A,YES,YES,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_007,2024,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_008,2024,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,YES,YES,YES,YES,NO,YES,N/A,NO,N/A,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,N/A,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,YES,YES,NO,NO,NO,0.9,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_009,2024,YES,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,"seek cleaner air, wear a mask or respirator outdoors",NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_010,2024,YES,YES,YES,YES,NO,NO,N/A,NO,NO,NO,YES,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,go outside with lower wildfire smoke,NO,NO,N/A,NO,N/A,NO,N/A,YES,NO,NO,NO,YES,YES,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_011,2025,YES,YES,YES,YES,NO,YES,MERV 13,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_012,2025,YES,YES,YES,YES,NO,YES,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,"varies, depending on aqhi",NO,NO,N/A,NO,N/A,YES,contingency plan for wildfire smoke for planned outdoor activities,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
bccdc_013,2025,YES,YES,YES,YES,NO,YES,MERV 13,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,"varies, depending on aqhi",NO,NO,N/A,NO,N/A,YES,"wildfire smoke readiness plan for schools, records of students with chronic health conditions",YES,NO,YES,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,N/A,NO,NO,N/A,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,NO,NO,NO,NO,N/A,NO,0,NO,NO,NO,NO,NO,NO,NO,N/A,NO,N/A
